ID,SMILES
pept1,CN[C@@H](C)C=O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CO.CN[C@H](C=O)CO.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)Cc1ccccc1
pept1,N(C)[C@@H](CO)C=O.N(C)[C@H](C=O)CC(C)C.CN[C@H](C=O)CO.CSCC[C@@H](C=O)NC.N(C)[C@H](C=O)Cc1ccccc1.c1(C[C@@H](C=O)NC)ccc(O)cc1.CSCC[C@@H](C=O)NC.CN[C@H](C=O)C.C(=O)[C@H](CCSC)NC.N(C)[C@H](C=O)C(C)C.O=C[C@H](C(C)C)NC.C(CNC(N)=N)C[C@H](NC)C=O
pept1,N(C)[C@@H](CO)C=O.CN[C@@H](CC(C)C)C=O.N=C(N)NCCC[C@H](NC)C=O.O=C[C@@H](NC)Cc1ccccc1.CN[C@@H](CCSC)C=O.C(O)[C@H](NC)C=O.S(C)CC[C@@H](C=O)NC.N(C)[C@H](C=O)CCSC.c1cc(C[C@@H](C=O)NC)ccc1O.C(C)([C@@H](C=O)NC)C.C(C)([C@H](NC)C=O)C.C([C@H](C)NC)=O
pept1,CSCC[C@H](NC)C=O.C(NCCC[C@H](NC)C=O)(=N)N.[C@@H](Cc1ccccc1)(NC)C=O.[C@H](NC)(C(C)C)C=O.C(=O)[C@H](CCSC)NC.C([C@@H](NC)CC(C)C)=O.N(C)[C@@H](CCSC)C=O.[C@H](C)(C=O)NC.N([C@@H](CO)C=O)C.N([C@@H](C(C)C)C=O)C.C(=O)[C@@H](NC)Cc1ccc(O)cc1.OC[C@@H](C=O)NC
pept1,N=C(N)NCCC[C@@H](C=O)NC.C(=O)[C@H](CCSC)NC.CC(C)[C@H](NC)C=O.C([C@H](C(C)C)NC)=O.O=C[C@H](CO)NC.O=C[C@H](CCSC)NC.[C@@H](C=O)(CCSC)NC.[C@@H](C=O)(Cc1ccc(O)cc1)NC.C(c1ccccc1)[C@@H](C=O)NC.C(C(C)C)[C@H](NC)C=O.C(=O)[C@@H](NC)CO.C(=O)[C@H](C)NC
pept1,NC(NCCC[C@@H](C=O)NC)=N.O=C[C@H](CCSC)NC.[C@H](C)(C=O)NC.O=C[C@@H](NC)CO.CN[C@@H](CO)C=O.C(C)([C@H](NC)C=O)C.N([C@@H](CCSC)C=O)C.CN[C@H](C=O)Cc1ccc(O)cc1.O=C[C@@H](NC)CC(C)C.c1cc(C[C@H](NC)C=O)ccc1.C([C@H](NC)C=O)(C)C.C([C@H](NC)C=O)CSC
pept1,CN[C@@H](C(C)C)C=O.C([C@H](CO)NC)=O.C(C[C@H](NC)C=O)SC.C(=O)[C@H](C)NC.CN[C@@H](CO)C=O.C(=O)[C@H](Cc1ccc(O)cc1)NC.CSCC[C@@H](C=O)NC.N(C)[C@@H](Cc1ccccc1)C=O.O=C[C@H](C(C)C)NC.C([C@@H](NC)CC(C)C)=O.C([C@@H](NC)CCCNC(=N)N)=O.S(CC[C@@H](C=O)NC)C
pept1,C(c1ccccc1)[C@@H](C=O)NC.C(C[C@@H](C=O)NC)SC.C(O)[C@@H](C=O)NC.CN[C@@H](CCSC)C=O.C(NCCC[C@@H](C=O)NC)(N)=N.Oc1ccc(C[C@H](NC)C=O)cc1.CN[C@H](C=O)C(C)C.O=C[C@H](C(C)C)NC.CC(C[C@@H](C=O)NC)C.C(CSC)[C@@H](C=O)NC.CN[C@@H](CO)C=O.CN[C@H](C=O)C
pept1,N(C)[C@@H](C(C)C)C=O.CN[C@@H](CCSC)C=O.N(C)[C@H](C=O)CCSC.S(CC[C@H](NC)C=O)C.[C@@H](NC)(C=O)CCCNC(N)=N.c1cc(C[C@H](NC)C=O)ccc1.C([C@H](NC)C=O)C(C)C.[C@@H](NC)(C=O)C.N([C@H](C=O)CO)C.C(O)[C@@H](C=O)NC.CN[C@@H](Cc1ccc(O)cc1)C=O.N(C)[C@@H](C(C)C)C=O
pept1,C([C@@H](NC)C)=O.c1cc(C[C@@H](C=O)NC)ccc1.[C@@H](NC)(C=O)CO.O=C[C@@H](NC)C(C)C.NC(NCCC[C@@H](C=O)NC)=N.c1c(C[C@H](NC)C=O)ccc(O)c1.C(C[C@H](NC)C=O)SC.S(C)CC[C@H](NC)C=O.OC[C@@H](C=O)NC.CN[C@H](C=O)C(C)C.C([C@@H](NC)CCSC)=O.C([C@@H](NC)CC(C)C)=O
pept1,c1cccc(C[C@@H](C=O)NC)c1.[C@@H](Cc1ccc(O)cc1)(NC)C=O.CSCC[C@H](NC)C=O.CC(C)[C@H](NC)C=O.C(=O)[C@H](CC(C)C)NC.C(CCNC(N)=N)[C@H](NC)C=O.CN[C@@H](C(C)C)C=O.C([C@H](CCSC)NC)=O.C(=O)[C@H](CO)NC.OC[C@H](NC)C=O.C([C@H](C)NC)=O.[C@H](CCSC)(C=O)NC
pept1,N(C)[C@@H](CC(C)C)C=O.C(CSC)[C@@H](C=O)NC.C(=N)(N)NCCC[C@H](NC)C=O.c1c(C[C@H](NC)C=O)cccc1.CC([C@@H](C=O)NC)C.[C@H](NC)(CO)C=O.[C@H](NC)(C)C=O.N([C@H](C=O)C(C)C)C.CSCC[C@H](NC)C=O.O=C[C@@H](NC)CCSC.CN[C@H](C=O)Cc1ccc(O)cc1.N([C@@H](CO)C=O)C
pept1,c1cc(C[C@H](NC)C=O)ccc1.O=C[C@H](C(C)C)NC.[C@H](C=O)(NC)CCSC.c1c(O)ccc(C[C@H](NC)C=O)c1.C(NC(N)=N)CC[C@H](NC)C=O.N(C)[C@@H](CC(C)C)C=O.C(C[C@H](NC)C=O)SC.C([C@H](NC)C=O)O.CSCC[C@@H](C=O)NC.N([C@@H](C(C)C)C=O)C.CN[C@H](C=O)CO.N(C)[C@@H](C)C=O
pept1,c1cccc(C[C@H](NC)C=O)c1.CN[C@@H](C(C)C)C=O.C(CCNC(=N)N)[C@H](NC)C=O.CN[C@H](C=O)Cc1ccc(O)cc1.N([C@H](C=O)CCSC)C.C[C@H](NC)C=O.CC(C)[C@@H](C=O)NC.C(C(C)C)[C@@H](C=O)NC.S(CC[C@H](NC)C=O)C.CN[C@H](C=O)CO.C(C[C@H](NC)C=O)SC.[C@H](NC)(CO)C=O
pept1,CSCC[C@H](NC)C=O.N([C@H](C=O)CO)C.C(SC)C[C@H](NC)C=O.NC(NCCC[C@H](NC)C=O)=N.[C@H](C=O)(NC)CCSC.c1ccc(C[C@H](NC)C=O)cc1.[C@H](C)(C=O)NC.[C@H](NC)(Cc1ccc(O)cc1)C=O.CN[C@H](C=O)CC(C)C.C(O)[C@@H](C=O)NC.O=C[C@@H](NC)C(C)C.O=C[C@H](C(C)C)NC
pept1,[C@@H](CO)(NC)C=O.N([C@H](C=O)CCSC)C.c1c(C[C@H](NC)C=O)cccc1.CC(C)[C@@H](C=O)NC.N(C(=N)N)CCC[C@@H](C=O)NC.N([C@H](C=O)C(C)C)C.[C@H](C=O)(NC)CC(C)C.N(C)[C@@H](C)C=O.c1c(O)ccc(C[C@@H](C=O)NC)c1.N(C)[C@H](C=O)CCSC.N([C@@H](CCSC)C=O)C.CN[C@@H](CO)C=O
