ID,SMILES
pept1,CN[C@@H](C)C=O.CN[C@@H](C)C=O.CN[C@@H](C)C=O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CO.CN[C@H](C=O)CO.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)Cc1ccccc1
pept1,C([C@@H](C=O)NC)O.CN[C@H](C=O)C.OC[C@H](NC)C=O.c1c(O)ccc(C[C@@H](C=O)NC)c1.S(C)CC[C@H](NC)C=O.C(N)(NCCC[C@@H](C=O)NC)=N.c1c(C[C@H](NC)C=O)cccc1.N([C@H](C=O)CC(C)C)C.C(SC)C[C@@H](C=O)NC.S(C)CC[C@@H](C=O)NC.C(C)(C)[C@H](NC)C=O.C([C@@H](NC)C)=O.C([C@H](NC)C=O)CSC.CC(C)[C@@H](C=O)NC.O=C[C@H](C)NC
pept1,c1cccc(C[C@H](NC)C=O)c1.CN[C@@H](Cc1ccc(O)cc1)C=O.O=C[C@H](CCSC)NC.[C@H](C)(C=O)NC.O=C[C@@H](NC)C(C)C.[C@@H](C=O)(C)NC.S(C)CC[C@@H](C=O)NC.O=C[C@H](CCSC)NC.N(C)[C@@H](CCSC)C=O.CC(C[C@H](NC)C=O)C.[C@@H](C=O)(C(C)C)NC.OC[C@@H](C=O)NC.O=C[C@H](CO)NC.NC(=N)NCCC[C@H](NC)C=O.C[C@@H](C=O)NC
pept1,CN[C@@H](C(C)C)C=O.S(CC[C@H](NC)C=O)C.C([C@H](Cc1ccccc1)NC)=O.C(=O)[C@H](C)NC.[C@@H](Cc1ccc(O)cc1)(NC)C=O.S(C)CC[C@@H](C=O)NC.C(C[C@@H](C=O)NC)SC.O=C[C@@H](NC)C.C([C@H](C)NC)=O.CN[C@H](C=O)CC(C)C.C([C@H](NC)C=O)O.[C@H](CCSC)(C=O)NC.C([C@H](NC)C=O)CCNC(N)=N.O=C[C@H](C(C)C)NC.O=C[C@@H](NC)CO
pept1,C(O)[C@@H](C=O)NC.CN[C@H](C=O)CCSC.C([C@@H](C=O)NC)(C)C.S(C)CC[C@H](NC)C=O.O=C[C@@H](NC)CC(C)C.C(CSC)[C@H](NC)C=O.[C@H](NC)(CCCNC(=N)N)C=O.O=C[C@@H](NC)CO.N(C)[C@@H](Cc1ccc(O)cc1)C=O.[C@H](C=O)(NC)C.CN[C@H](C=O)C(C)C.c1ccc(C[C@H](NC)C=O)cc1.N([C@H](C=O)C)C.N(C)[C@@H](C)C=O.O=C[C@H](CCSC)NC
pept1,O=C[C@@H](NC)C.CSCC[C@@H](C=O)NC.O=C[C@H](CCSC)NC.N(C)[C@H](C=O)Cc1ccccc1.C(=O)[C@H](C(C)C)NC.C([C@H](NC)C=O)c1ccc(O)cc1.N([C@H](C=O)CO)C.N(C(=N)N)CCC[C@H](NC)C=O.O=C[C@H](CCSC)NC.C[C@H](NC)C=O.[C@H](CC(C)C)(C=O)NC.OC[C@H](NC)C=O.N(C)[C@H](C=O)CCSC.O=C[C@H](C)NC.CC(C)[C@@H](C=O)NC
pept1,C[C@H](NC)C=O.C([C@@H](C=O)NC)CSC.[C@H](C=O)(NC)C(C)C.[C@H](C)(C=O)NC.S(C)CC[C@H](NC)C=O.N([C@H](C=O)C)C.C([C@H](CCSC)NC)=O.C([C@H](Cc1ccccc1)NC)=O.C([C@H](NC)C=O)CSC.C([C@@H](C=O)NC)(C)C.C([C@H](NC)C=O)CCNC(N)=N.[C@@H](NC)(C=O)Cc1ccc(O)cc1.CN[C@H](C=O)CC(C)C.N([C@H](C=O)CO)C.C([C@H](CO)NC)=O
pept1,CC(C)[C@@H](C=O)NC.O=C[C@H](Cc1ccccc1)NC.C(N)(=N)NCCC[C@@H](C=O)NC.C(=O)[C@@H](NC)CC(C)C.N(C)[C@@H](C(C)C)C=O.[C@H](Cc1ccc(O)cc1)(C=O)NC.C(SC)C[C@H](NC)C=O.C(SC)C[C@@H](C=O)NC.C(O)[C@@H](C=O)NC.C([C@H](C)NC)=O.[C@@H](C=O)(CCSC)NC.C(CSC)[C@@H](C=O)NC.C[C@@H](C=O)NC.CN[C@@H](CO)C=O.C[C@@H](C=O)NC
pept1,CN[C@H](C=O)CO.c1(O)ccc(C[C@H](NC)C=O)cc1.O=C[C@@H](NC)CCCNC(N)=N.N([C@@H](C(C)C)C=O)C.S(C)CC[C@@H](C=O)NC.CN[C@@H](CCSC)C=O.CSCC[C@H](NC)C=O.O=C[C@H](Cc1ccccc1)NC.N([C@H](C=O)CCSC)C.C([C@H](C)NC)=O.N([C@@H](C)C=O)C.N(C)[C@@H](CC(C)C)C=O.C([C@H](C(C)C)NC)=O.C([C@@H](NC)CO)=O.[C@@H](NC)(C=O)C
pept1,C(=O)[C@@H](NC)C.C(=O)[C@H](CCSC)NC.CN[C@H](C=O)CCSC.N(C)[C@H](C=O)CCSC.C(=O)[C@@H](NC)Cc1ccc(O)cc1.O=C[C@@H](NC)CO.O=C[C@H](C)NC.c1c(C[C@@H](C=O)NC)cccc1.O=C[C@H](CCSC)NC.C(C)([C@H](NC)C=O)C.CN[C@@H](CCCNC(N)=N)C=O.CN[C@@H](C(C)C)C=O.CN[C@@H](CC(C)C)C=O.N(C)[C@@H](CO)C=O.C[C@@H](C=O)NC
