ID,SMILES
pept1,CN[C@@H](C)C=O.CN[C@@H](C)C=O.CN[C@@H](C)C=O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CO.CN[C@H](C=O)CO.CN[C@H](C=O)Cc1ccccc1
pept1,O=C[C@@H](NC)CCSC.C([C@@H](NC)CCSC)=O.N([C@H](C=O)CCSC)C.S(CC[C@H](NC)C=O)C.CC([C@@H](C=O)NC)C.N(C)[C@@H](C(C)C)C=O.O=C[C@@H](NC)C.CN[C@H](C=O)CO.C([C@@H](NC)C)=O.C([C@H](NC)C=O)c1ccccc1.O=C[C@@H](NC)CO.N([C@H](C=O)CCCNC(=N)N)C.C(=O)[C@@H](NC)C
pept1,O=C[C@H](CCSC)NC.CC([C@@H](C=O)NC)C.CN[C@H](C=O)CCSC.c1cccc(C[C@H](NC)C=O)c1.CSCC[C@H](NC)C=O.CN[C@H](C=O)C.C(NC(N)=N)CC[C@@H](C=O)NC.C([C@@H](NC)CO)=O.C(=O)[C@H](CO)NC.C([C@H](NC)C=O)CSC.C[C@@H](C=O)NC.[C@@H](NC)(C=O)C(C)C.C(=O)[C@H](C)NC
pept1,N([C@H](C=O)C)C.C([C@H](NC)C=O)(C)C.C([C@@H](C=O)NC)CCNC(N)=N.C[C@@H](C=O)NC.OC[C@H](NC)C=O.N(C)[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.N(C)[C@H](C=O)CO.[C@@H](C=O)(CCSC)NC.N(C)[C@@H](C(C)C)C=O.c1cc(C[C@H](NC)C=O)ccc1.[C@@H](C=O)(C)NC.[C@@H](C=O)(CCSC)NC
pept1,[C@@H](NC)(C=O)CCSC.[C@@H](C=O)(C)NC.[C@H](NC)(C)C=O.S(CC[C@@H](C=O)NC)C.c1c(C[C@H](NC)C=O)cccc1.C(=O)[C@@H](NC)CO.N([C@H](C=O)C(C)C)C.N(CCC[C@H](NC)C=O)C(N)=N.CN[C@H](C=O)CO.[C@@H](C)(NC)C=O.CSCC[C@H](NC)C=O.S(CC[C@@H](C=O)NC)C.N([C@@H](C(C)C)C=O)C
pept1,CSCC[C@@H](C=O)NC.N(C)[C@H](C=O)CO.CSCC[C@H](NC)C=O.N([C@@H](C(C)C)C=O)C.CN[C@@H](Cc1ccccc1)C=O.O=C[C@H](C)NC.C[C@@H](C=O)NC.C(C[C@@H](C=O)NC)CNC(=N)N.O=C[C@H](C(C)C)NC.CN[C@@H](C)C=O.[C@H](C=O)(NC)CO.CSCC[C@H](NC)C=O.C(=O)[C@H](CCSC)NC
pept1,C(O)[C@H](NC)C=O.C(C[C@H](NC)C=O)SC.C(=O)[C@H](Cc1ccccc1)NC.[C@H](CCCNC(N)=N)(C=O)NC.C(CSC)[C@@H](C=O)NC.CC([C@H](NC)C=O)C.O=C[C@H](C(C)C)NC.[C@H](NC)(CCSC)C=O.CN[C@@H](C)C=O.C(SC)C[C@H](NC)C=O.O=C[C@H](CO)NC.C([C@H](C)NC)=O.O=C[C@H](C)NC
pept1,OC[C@@H](C=O)NC.N(C)[C@@H](Cc1ccccc1)C=O.OC[C@H](NC)C=O.[C@@H](NC)(C=O)C.C(C[C@@H](C=O)NC)SC.O=C[C@H](C)NC.C(C)([C@@H](C=O)NC)C.N([C@@H](CCSC)C=O)C.O=C[C@H](CCCNC(=N)N)NC.[C@H](C=O)(NC)CCSC.N(C)[C@H](C=O)CCSC.N([C@@H](C)C=O)C.C([C@@H](C=O)NC)(C)C
pept1,C[C@H](NC)C=O.CN[C@@H](C)C=O.N(C)[C@H](C=O)CO.N([C@H](C=O)CCSC)C.OC[C@@H](C=O)NC.CN[C@@H](CCSC)C=O.C(CCNC(=N)N)[C@@H](C=O)NC.CC(C)[C@H](NC)C=O.O=C[C@H](C)NC.N([C@@H](CCSC)C=O)C.N([C@@H](CCSC)C=O)C.c1(C[C@@H](C=O)NC)ccccc1.[C@H](NC)(C(C)C)C=O
pept1,[C@@H](CCSC)(NC)C=O.S(CC[C@H](NC)C=O)C.C(SC)C[C@@H](C=O)NC.[C@@H](C=O)(C)NC.c1ccc(C[C@@H](C=O)NC)cc1.[C@H](C=O)(NC)CO.C(C)([C@H](NC)C=O)C.C([C@H](C)NC)=O.C([C@@H](NC)CCSC)=O.C([C@@H](NC)CO)=O.N=C(N)NCCC[C@@H](C=O)NC.N(C)[C@H](C=O)C.CN[C@@H](C(C)C)C=O
pept1,C(C)(C)[C@H](NC)C=O.CN[C@@H](CCCNC(=N)N)C=O.O=C[C@@H](NC)Cc1ccccc1.O=C[C@@H](NC)CO.N(C)[C@@H](CCSC)C=O.N(C)[C@H](C=O)CCSC.CN[C@@H](C)C=O.C(C[C@@H](C=O)NC)SC.N(C)[C@@H](C)C=O.CN[C@H](C=O)CO.[C@H](C=O)(NC)C.C(=O)[C@H](C(C)C)NC.C([C@@H](C=O)NC)CSC
pept1,C(C[C@@H](C=O)NC)SC.C(C)([C@@H](C=O)NC)C.O=C[C@@H](NC)CCSC.c1cccc(C[C@@H](C=O)NC)c1.CN[C@@H](C(C)C)C=O.O=C[C@H](C)NC.C(CCNC(=N)N)[C@H](NC)C=O.[C@@H](NC)(C=O)C.N(C)[C@@H](CCSC)C=O.C([C@@H](C=O)NC)CSC.CN[C@@H](CO)C=O.OC[C@@H](C=O)NC.C[C@H](NC)C=O
pept1,[C@@H](C=O)(C(C)C)NC.[C@@H](CO)(NC)C=O.N([C@H](C=O)CCSC)C.c1(C[C@@H](C=O)NC)ccccc1.N(C)[C@H](C=O)C.CC(C)[C@@H](C=O)NC.S(C)CC[C@H](NC)C=O.O=C[C@@H](NC)C.NC(=N)NCCC[C@H](NC)C=O.C(=O)[C@@H](NC)CCSC.OC[C@H](NC)C=O.CN[C@H](C=O)C.CSCC[C@@H](C=O)NC
pept1,CC(C)[C@H](NC)C=O.CN[C@H](C=O)C(C)C.c1ccccc1C[C@H](NC)C=O.C([C@H](CCSC)NC)=O.O=C[C@@H](NC)CO.CN[C@H](C=O)CCSC.C(=O)[C@H](CCSC)NC.C([C@H](C)NC)=O.C(N)(=N)NCCC[C@H](NC)C=O.C(=O)[C@H](C)NC.C[C@H](NC)C=O.CN[C@H](C=O)CCSC.O=C[C@@H](NC)CO
pept1,CSCC[C@H](NC)C=O.C(SC)C[C@@H](C=O)NC.CC(C)[C@H](NC)C=O.[C@@H](C=O)(CCSC)NC.N([C@@H](CO)C=O)C.[C@H](C)(C=O)NC.C([C@H](NC)C=O)O.C(CC[C@H](NC)C=O)NC(=N)N.CN[C@@H](CCSC)C=O.O=C[C@H](C)NC.CC(C)[C@@H](C=O)NC.c1cccc(C[C@@H](C=O)NC)c1.O=C[C@H](C)NC
pept1,CSCC[C@H](NC)C=O.N(C)[C@@H](CCSC)C=O.N(C)[C@H](C=O)CCCNC(N)=N.CN[C@H](C=O)C.C([C@H](C)NC)=O.c1cccc(C[C@@H](C=O)NC)c1.O=C[C@@H](NC)CO.[C@@H](C=O)(CCSC)NC.S(C)CC[C@H](NC)C=O.C(C)([C@H](NC)C=O)C.C(=O)[C@H](C(C)C)NC.OC[C@@H](C=O)NC.CN[C@H](C=O)C
pept1,C(=O)[C@@H](NC)C(C)C.N([C@H](C=O)CCSC)C.[C@@H](C=O)(CO)NC.N(C)[C@@H](C)C=O.S(CC[C@H](NC)C=O)C.O=C[C@@H](NC)CO.N([C@H](C=O)C)C.c1cccc(C[C@@H](C=O)NC)c1.C(CC[C@@H](C=O)NC)NC(N)=N.C(C[C@H](NC)C=O)SC.[C@H](NC)(C(C)C)C=O.CN[C@H](C=O)C.[C@@H](NC)(C=O)CCSC
pept1,CC([C@H](NC)C=O)C.C(=O)[C@@H](NC)C.[C@H](C)(C=O)NC.O=C[C@H](CO)NC.N(C)[C@@H](C(C)C)C=O.O=C[C@H](C)NC.c1cccc(C[C@@H](C=O)NC)c1.N(C)[C@H](C=O)CCSC.CN[C@H](C=O)CCCNC(N)=N.CN[C@@H](CCSC)C=O.O=C[C@@H](NC)CO.S(C)CC[C@H](NC)C=O.N([C@H](C=O)CCSC)C
pept1,CC(C)[C@H](NC)C=O.S(C)CC[C@H](NC)C=O.C(=O)[C@@H](NC)CCSC.CN[C@@H](CCSC)C=O.O=C[C@@H](NC)C.N=C(NCCC[C@@H](C=O)NC)N.c1ccc(C[C@H](NC)C=O)cc1.[C@H](NC)(CO)C=O.N([C@H](C=O)CO)C.CC([C@H](NC)C=O)C.CN[C@@H](CCSC)C=O.N(C)[C@@H](C)C=O.O=C[C@@H](NC)C
pept1,C(CSC)[C@@H](C=O)NC.S(CC[C@@H](C=O)NC)C.CC(C)[C@@H](C=O)NC.C(C[C@@H](C=O)NC)SC.[C@@H](CO)(NC)C=O.CN[C@@H](C(C)C)C=O.N([C@@H](CCCNC(=N)N)C=O)C.CN[C@@H](C)C=O.CN[C@H](C=O)C.c1(C[C@H](NC)C=O)ccccc1.N(C)[C@H](C=O)CCSC.[C@@H](CO)(NC)C=O.[C@H](NC)(C)C=O
pept1,O=C[C@@H](NC)CCCNC(=N)N.[C@@H](C=O)(C(C)C)NC.[C@@H](C=O)(C)NC.CSCC[C@H](NC)C=O.CN[C@@H](CO)C=O.O=C[C@H](Cc1ccccc1)NC.N(C)[C@@H](CCSC)C=O.C(C[C@H](NC)C=O)SC.C(SC)C[C@H](NC)C=O.C[C@@H](C=O)NC.CN[C@@H](C(C)C)C=O.[C@H](C=O)(NC)CO.C[C@H](NC)C=O
pept1,CN[C@@H](C(C)C)C=O.[C@H](CCCNC(N)=N)(C=O)NC.N(C)[C@@H](CCSC)C=O.[C@@H](NC)(C=O)CCSC.CN[C@H](C=O)C(C)C.[C@@H](C=O)(C)NC.c1ccccc1C[C@@H](C=O)NC.C(CSC)[C@@H](C=O)NC.O=C[C@H](C)NC.C(O)[C@@H](C=O)NC.[C@H](C=O)(NC)C.C([C@H](NC)C=O)CSC.OC[C@@H](C=O)NC
pept1,CC(C)[C@@H](C=O)NC.C(CSC)[C@H](NC)C=O.N(C)[C@@H](CCSC)C=O.N(C)[C@@H](C)C=O.C[C@@H](C=O)NC.C([C@H](NC)C=O)O.O=C[C@@H](NC)CCSC.C([C@@H](C=O)NC)c1ccccc1.C(N)(=N)NCCC[C@H](NC)C=O.C(SC)C[C@@H](C=O)NC.O=C[C@H](C(C)C)NC.CN[C@@H](CO)C=O.CN[C@@H](C)C=O
pept1,C[C@@H](C=O)NC.C([C@H](CCSC)NC)=O.S(C)CC[C@@H](C=O)NC.N(C)[C@H](C=O)CCSC.C([C@@H](NC)Cc1ccccc1)=O.C([C@H](NC)C=O)O.CN[C@H](C=O)CO.N([C@H](C=O)C)C.N=C(N)NCCC[C@@H](C=O)NC.C([C@H](CCSC)NC)=O.O=C[C@H](C(C)C)NC.[C@@H](C)(NC)C=O.[C@@H](C=O)(C(C)C)NC
pept1,C([C@H](NC)C=O)CSC.C(=O)[C@H](CO)NC.[C@H](NC)(C(C)C)C=O.C([C@@H](NC)C(C)C)=O.O=C[C@H](CCCNC(N)=N)NC.N([C@H](C=O)C)C.C[C@H](NC)C=O.N([C@H](C=O)CO)C.N([C@@H](CCSC)C=O)C.CN[C@@H](Cc1ccccc1)C=O.N(C)[C@@H](C)C=O.[C@@H](C=O)(CCSC)NC.O=C[C@H](CCSC)NC
pept1,O=C[C@H](C(C)C)NC.O=C[C@@H](NC)CCSC.C(C)([C@@H](C=O)NC)C.CN[C@@H](Cc1ccccc1)C=O.[C@H](C=O)(NC)C.O=C[C@H](C)NC.O=C[C@H](CCSC)NC.N([C@H](C=O)CCSC)C.C[C@@H](C=O)NC.OC[C@H](NC)C=O.C([C@@H](C=O)NC)O.C(=O)[C@@H](NC)CCCNC(N)=N.C(SC)C[C@@H](C=O)NC
pept1,[C@@H](CCSC)(NC)C=O.O=C[C@H](CCSC)NC.c1ccc(C[C@@H](C=O)NC)cc1.C([C@@H](C=O)NC)O.CC(C)[C@@H](C=O)NC.N(C)[C@@H](C)C=O.CC([C@H](NC)C=O)C.C(=O)[C@@H](NC)CO.CN[C@@H](C)C=O.CN[C@@H](CCSC)C=O.O=C[C@H](CCCNC(=N)N)NC.N(C)[C@H](C=O)CCSC.[C@@H](C)(NC)C=O
pept1,S(CC[C@H](NC)C=O)C.C([C@@H](C=O)NC)O.C[C@@H](C=O)NC.CC(C)[C@@H](C=O)NC.C([C@@H](C=O)NC)(C)C.c1cccc(C[C@@H](C=O)NC)c1.CN[C@H](C=O)CCSC.N(C)[C@H](C=O)C.C(C[C@@H](C=O)NC)CNC(N)=N.[C@@H](NC)(C=O)C.[C@@H](NC)(C=O)CCSC.N(C)[C@@H](CCSC)C=O.C([C@@H](C=O)NC)O
pept1,N(C)[C@H](C=O)C(C)C.[C@H](CCSC)(C=O)NC.c1cccc(C[C@H](NC)C=O)c1.N(C)[C@H](C=O)CCSC.C[C@@H](C=O)NC.N([C@@H](C)C=O)C.CSCC[C@@H](C=O)NC.[C@H](CO)(C=O)NC.O=C[C@@H](NC)CCCNC(N)=N.CC(C)[C@H](NC)C=O.[C@@H](CO)(NC)C=O.O=C[C@H](C)NC.C([C@@H](C=O)NC)CSC
pept1,C(SC)C[C@H](NC)C=O.C(NCCC[C@@H](C=O)NC)(=N)N.C([C@@H](C=O)NC)(C)C.[C@@H](C=O)(CO)NC.C(C[C@H](NC)C=O)SC.C([C@H](C)NC)=O.O=C[C@H](C)NC.[C@@H](NC)(C=O)CCSC.c1cc(C[C@@H](C=O)NC)ccc1.[C@H](NC)(CCSC)C=O.N([C@@H](C(C)C)C=O)C.[C@@H](C)(NC)C=O.N([C@H](C=O)CO)C
pept1,C(=O)[C@H](C)NC.CN[C@H](C=O)CCCNC(N)=N.[C@@H](NC)(C=O)CCSC.C([C@H](NC)C=O)O.C(C[C@H](NC)C=O)SC.C(C)([C@@H](C=O)NC)C.C[C@@H](C=O)NC.CN[C@H](C=O)C(C)C.C(=O)[C@H](CO)NC.N([C@@H](CCSC)C=O)C.N([C@H](C=O)C)C.S(C)CC[C@H](NC)C=O.N(C)[C@@H](Cc1ccccc1)C=O
pept1,C(O)[C@@H](C=O)NC.N([C@H](C=O)CCSC)C.O=C[C@H](CCCNC(N)=N)NC.N(C)[C@H](C=O)C(C)C.C(=O)[C@@H](NC)C.N([C@H](C=O)CCSC)C.C(SC)C[C@@H](C=O)NC.N(C)[C@@H](CCSC)C=O.C([C@H](CO)NC)=O.N([C@H](C=O)Cc1ccccc1)C.CN[C@@H](C(C)C)C=O.C[C@@H](C=O)NC.N([C@H](C=O)C)C
pept1,N([C@H](C=O)CCCNC(N)=N)C.O=C[C@H](CCSC)NC.O=C[C@H](CCSC)NC.CN[C@H](C=O)Cc1ccccc1.C([C@@H](NC)CO)=O.N([C@H](C=O)CO)C.CC([C@H](NC)C=O)C.CN[C@H](C=O)C.N(C)[C@H](C=O)C(C)C.C(SC)C[C@@H](C=O)NC.CN[C@@H](C)C=O.CSCC[C@H](NC)C=O.C[C@@H](C=O)NC
pept1,OC[C@@H](C=O)NC.C(C[C@@H](C=O)NC)SC.CN[C@H](C=O)CCCNC(=N)N.O=C[C@@H](NC)C.O=C[C@@H](NC)C(C)C.c1cc(C[C@@H](C=O)NC)ccc1.[C@H](C=O)(NC)CCSC.CSCC[C@@H](C=O)NC.CC([C@H](NC)C=O)C.CN[C@H](C=O)C.[C@H](C=O)(NC)CO.C(SC)C[C@@H](C=O)NC.O=C[C@@H](NC)C
pept1,CN[C@@H](C(C)C)C=O.CC(C)[C@@H](C=O)NC.O=C[C@H](CCSC)NC.[C@@H](Cc1ccccc1)(NC)C=O.C(=O)[C@H](C)NC.N(CCC[C@H](NC)C=O)C(N)=N.C(CSC)[C@@H](C=O)NC.C(=O)[C@H](CO)NC.CSCC[C@H](NC)C=O.C(=O)[C@@H](NC)CCSC.O=C[C@H](C)NC.[C@H](CO)(C=O)NC.[C@H](NC)(C)C=O
pept1,O=C[C@@H](NC)CO.C(CNC(N)=N)C[C@H](NC)C=O.[C@@H](C=O)(CO)NC.[C@H](NC)(CCSC)C=O.CN[C@H](C=O)CCSC.N(C)[C@@H](CCSC)C=O.N(C)[C@@H](CCSC)C=O.[C@@H](C)(NC)C=O.C([C@H](C(C)C)NC)=O.C([C@H](NC)C=O)(C)C.CN[C@@H](C)C=O.c1ccccc1C[C@@H](C=O)NC.N([C@@H](C)C=O)C
pept1,N(C)[C@H](C=O)C.N([C@H](C=O)C)C.OC[C@H](NC)C=O.c1ccccc1C[C@H](NC)C=O.C(SC)C[C@H](NC)C=O.CC([C@H](NC)C=O)C.N(C)[C@@H](CCSC)C=O.N([C@@H](CO)C=O)C.N=C(N)NCCC[C@H](NC)C=O.C(C[C@H](NC)C=O)SC.O=C[C@H](C)NC.CC([C@H](NC)C=O)C.N([C@@H](CCSC)C=O)C
